id,keikei_kubun,management_id,_jigyosyo_address,_jigyosyo_code,_jigyosyo_exists_koyou_sekininsha,_jigyosyo_fax_number,_jigyosyo_is_use_kaigo_machine_subsidy,_jigyosyo_is_use_other_subsidy,_jigyosyo_kourou_release_datetime,_jigyosyo_kourou_url,_jigyosyo_name,_jigyosyo_number_of_member,_jigyosyo_postal_code,_jigyosyo_repr_name,_jigyosyo_repr_position,_jigyosyo_tel_number,_jigyosyo_type,_management_description,_management_is_sanjo,visit_date,done_explain_support,done_knowing_problem,is_accepting_intern,is_going_to_recruit,is_recruiting_on_expect_hw,is_recruiting_on_hw,koyou_care_services_consult,koyou_care_services_inform,koyou_employment_management_responsibility_consult,koyou_employment_management_responsibility_inform,koyou_job_posting_consult,koyou_job_posting_inform,koyou_other_consult,koyou_other_inform,koyou_skill_development_consult,koyou_skill_development_inform,koyou_subsidies_consult,koyou_subsidies_inform,koyou_welfare_benefits_consult,koyou_welfare_benefits_inform,koyou_working_conditions_consult,koyou_working_conditions_inform,koyou_workplace_communication_consult,koyou_workplace_communication_inform,koyou_workplace_environment_consult,koyou_workplace_environment_inform,noukai_job_posting_consult,noukai_job_posting_inform,noukai_other_skill_development_consult,noukai_other_skill_development_inform,noukai_qualification_system_training_consult,noukai_qualification_system_training_inform,noukai_subsidy_system_for_skill_development_consult,noukai_subsidy_system_for_skill_development_inform,noukai_training_plan_curriculum_consult,noukai_training_plan_curriculum_inform,noukai_vocational_skill_development_promoter_consult,noukai_vocational_skill_development_promoter_inform,support_means,support_status,will_inform_hw,will_inform_others,will_inform_prefecture,with_alone_on_hw,with_employment_consultant,with_health_counselor,with_staff_on_hw,with_tool_utilization,with_training_coordinator,visit_memo,file,_jigyosyo_custom_code
1,shisetsu,,,,,,,,,,,,,,,,,,0,2024-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,,,,"訪問内容のサンプルテキスト",,
2,,1,"北海道札幌市東区北42条東19丁目1−10",0170200133,,011-784-5128,,,"2022-12-16 02:43:00",https://www.kaigokensaku.mhlw.go.jp/01/index.php?action_kouhyou_detail_025_kani=true&JigyosyoCd=0170200133-00&ServiceCd=210&Type=search,"セボラ・コリーナ短期入所生活介護事業所",,007-0842,"梅井治雄","理事長",011-746-7771,"短期入所生活介護",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"visit tets1. here is great.",,
3,,1,"北海道札幌市東区北42条東19丁目1−10",0170200133,,011-784-5128,,,"2022-12-16 02:43:00",https://www.kaigokensaku.mhlw.go.jp/01/index.php?action_kouhyou_detail_025_kani=true&JigyosyoCd=0170200133-00&ServiceCd=210&Type=search,"セボラ・コリーナ短期入所生活介護事業所",,007-0842,"梅井治雄","理事長",011-746-7771,"短期入所生活介護",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"visit tets2 in m1. here is great.",,
4,,1,"北海道札幌市東区北42条東19丁目1−10",0170200133,,011-784-5128,,,"2022-12-16 02:43:00",https://www.kaigokensaku.mhlw.go.jp/01/index.php?action_kouhyou_detail_025_kani=true&JigyosyoCd=0170200133-00&ServiceCd=210&Type=search,"セボラ・コリーナ短期入所生活介護事業所",,007-0842,"梅井治雄","理事長",011-746-7771,"短期入所生活介護",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"visit tets3 in m1. here is great.",,
5,,1,"北海道札幌市東区北42条東19丁目1−10",0170200133,,011-784-5128,,,"2022-12-16 02:43:00",https://www.kaigokensaku.mhlw.go.jp/01/index.php?action_kouhyou_detail_025_kani=true&JigyosyoCd=0170200133-00&ServiceCd=210&Type=search,"セボラ・コリーナ短期入所生活介護事業所",,007-0842,"梅井治雄","理事長",011-746-7771,"短期入所生活介護",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"visit tets4 in m1. here is great.",,
6,,1,"北海道札幌市東区北42条東19丁目1−10",0170200133,,011-784-5128,,,"2022-12-16 02:43:00",https://www.kaigokensaku.mhlw.go.jp/01/index.php?action_kouhyou_detail_025_kani=true&JigyosyoCd=0170200133-00&ServiceCd=210&Type=search,"test jigyosyo",,007-0842,"梅井治雄","理事長",011-746-7771,"短期入所生活介護","test hoge 1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"visit tets4 in m1. here is great.",,
7,,1,"北海道札幌市東区北42条東19丁目1−10",0170200133,,011-784-5128,,,"2022-12-16 02:43:00",https://www.kaigokensaku.mhlw.go.jp/01/index.php?action_kouhyou_detail_025_kani=true&JigyosyoCd=0170200133-00&ServiceCd=210&Type=search,"セボラ・コリーナ短期入所生活介護事業所",,007-0842,"梅井治雄","理事長",011-746-7771,"短期入所生活介護","test hoge 1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"visit tets5 in m1. here is great.",,
8,,,"北海道岩見沢市9条西13丁目1番地12",0175701234,,0126-31-6678,,,"2023-11-13 02:55:00",https://www.kaigokensaku.mhlw.go.jp/01/index.php?action_kouhyou_detail_019_kani=true&JigyosyoCd=0175701234-00&ServiceCd=170&Type=search,"サウレ福祉用具貸与事業所",,068-0029,"林謙二","代表取締役",0126-31-6677,,,0,,,,,1,1,1,,,,,,1,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,"",
9,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",
10,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,1,1,,,,,,,,,,,,"テストメモ","",
11,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",
12,,,,,,,,,,,,,,,,,,,0,2024-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"てすと","",
13,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",
14,,,,,0,,0,0,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,"１２３めも","",
15,,,"北海道岩見沢市9条西13丁目1番地12",0175701234,0,0126-31-6678,0,0,"2023-11-13 02:55:00",https://www.kaigokensaku.mhlw.go.jp/01/index.php?action_kouhyou_detail_019_kani=true&JigyosyoCd=0175701234-00&ServiceCd=170&Type=search,"サウレ福祉用具貸与事業所",,068-0029,"林謙二","代表取締役",0126-31-6677,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,,zero_support,0,0,0,0,0,0,0,0,0,"１さうれめも","",
16,,,,1234,0,,0,0,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,houmon,,0,0,0,0,0,0,0,0,0,,"",
18,houmon,,"北海道岩見沢市9条西13丁目1番地12",0175701234,0,0126-31-6678,0,0,"2023-11-13 02:55:00",https://www.kaigokensaku.mhlw.go.jp/01/index.php?action_kouhyou_detail_019_kani=true&JigyosyoCd=0175701234-00&ServiceCd=170&Type=search,"サウレ福祉用具貸与事業所",,068-0029,"林謙二","代表取締役",0126-31-6677,,,0,2024-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,houmon,zero_support,0,0,0,0,0,0,0,0,0,"さうれめも１２３４","",
19,houmon,,"北海道岩見沢市9条西13丁目1番地12",0175701234,0,0126-31-6678,0,0,"2023-11-13 02:55:00",https://www.kaigokensaku.mhlw.go.jp/01/index.php?action_kouhyou_detail_019_kani=true&JigyosyoCd=0175701234-00&ServiceCd=170&Type=search,"サウレ福祉用具貸与事業所",,068-0029,"林謙二","代表取締役",0126-31-6677,,,0,2024-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,houmon,zero_support,0,0,0,0,0,0,0,0,0,"訂正
さうれめも１２３４","",
20,houmon,,"北海道岩見沢市9条西13丁目1番地12",0175701234,0,0126-31-6678,0,0,"2023-11-13 02:55:00",https://www.kaigokensaku.mhlw.go.jp/01/index.php?action_kouhyou_detail_019_kani=true&JigyosyoCd=0175701234-00&ServiceCd=170&Type=search,"サウレ福祉用具貸与事業所",,068-0029,"林謙二","代表取締役",0126-31-6677,,,0,2024-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,houmon,zero_support,0,0,0,0,0,0,0,0,0,"２２れめも１２３４","",
21,houmon,,"北海道岩見沢市9条西13丁目1番地12",0175701234,0,0126-31-6678,0,0,"2023-11-13 02:55:00",https://www.kaigokensaku.mhlw.go.jp/01/index.php?action_kouhyou_detail_019_kani=true&JigyosyoCd=0175701234-00&ServiceCd=170&Type=search,"サウレ福祉用具貸与事業所",,068-0029,"林謙二","代表取締役",0126-31-6677,,,0,2024-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,houmon,zero_support,0,0,0,0,0,0,0,0,0,"変更しました","",
22,houmon,,"北海道岩見沢市9条西13丁目1番地12",0175701234,0,0126-31-6678,0,0,"2023-11-13 02:55:00",https://www.kaigokensaku.mhlw.go.jp/01/index.php?action_kouhyou_detail_019_kani=true&JigyosyoCd=0175701234-00&ServiceCd=170&Type=search,"サウレ福祉用具貸与事業所",,068-0029,"林謙二","代表取締役",0126-31-6677,,,0,2024-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,houmon,zero_support,0,0,0,0,0,0,0,0,0,"３変更しました","",
23,houmon,,"北海道岩見沢市9条西13丁目1番地12",0175701234,0,0126-31-6678,0,0,"2023-11-13 02:55:00",https://www.kaigokensaku.mhlw.go.jp/01/index.php?action_kouhyou_detail_019_kani=true&JigyosyoCd=0175701234-00&ServiceCd=170&Type=search,"サウレ福祉用具貸与事業所",,068-0029,"林謙二","代表取締役",0126-31-6677,,,0,2024-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,houmon,zero_support,0,0,0,0,0,0,0,0,0,"４変更しました","",
24,houmon,,"北海道岩見沢市9条西13丁目1番地12",0175701234,0,0126-31-6678,0,0,"2023-11-13 02:55:00",https://www.kaigokensaku.mhlw.go.jp/01/index.php?action_kouhyou_detail_019_kani=true&JigyosyoCd=0175701234-00&ServiceCd=170&Type=search,"サウレ福祉用具貸与事業所",,068-0029,"林謙二","代表取締役",0126-31-6677,,,0,2024-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,houmon,zero_support,0,0,0,0,0,0,0,0,0,"777変更しました","",
